Staff_Id,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlySalary,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Quarter1_KPI_Score,Quarter2_KPI_Score,Quarter3_KPI_Score,Quarter4_KPI_Score
SN00032,30.0,Travel_Rarely,317.0,Research & Development,2,3,Life Sciences,548,3,Female,1,2,Manufacturing Director,4,Single,6091,2,Y,No,20,4,3,80,0,11,2,3,5,4,0,2,61,36,61,60
SN00035,51.0,Travel_Rarely,1169.0,Research & Development,7,4,Medical,211,2,Male,2,2,Manufacturing Director,3,Married,6132,2,Y,No,17,3,3,80,0,10,2,3,1,0,0,0,59,38,61,62
SN00036,42.0,Travel_Rarely,932.0,Research & Development,1,2,Life Sciences,827,4,Female,2,2,Manufacturing Director,4,Married,6062,9,Y,Yes,13,3,4,80,1,8,4,3,4,3,0,2,62,49,79,75
SN00037,,Travel_Rarely,1343.0,Research & Development,27,1,Medical,856,3,Female,2,1,Research Scientist,1,Single,2559,1,Y,No,11,3,4,80,0,6,3,2,6,5,1,1,55,43,72,70
SN00038,,Travel_Rarely,,Sales,1,3,Marketing,600,2,Male,3,2,Sales Executive,3,Married,4717,9,Y,No,11,3,3,80,0,15,2,3,11,9,6,9,57,38,63,59
SN00040,,Travel_Rarely,736.0,Sales,26,3,Life Sciences,1387,3,Male,2,2,Sales Executive,1,Married,4724,1,Y,No,11,3,3,80,1,5,0,3,5,3,0,4,48,28,56,55
SN00041,29.0,Travel_Rarely,942.0,Research & Development,15,1,Life Sciences,1202,2,Female,1,1,Research Scientist,4,Married,2168,0,Y,Yes,18,3,1,80,1,6,2,2,5,4,1,3,52,41,63,64
SN00042,43.0,Travel_Rarely,982.0,Research & Development,12,3,Life Sciences,520,1,Male,2,4,Research Director,2,Divorced,14336,1,Y,No,11,3,3,80,1,25,3,3,25,10,3,9,54,44,69,67
SN00043,40.0,Travel_Frequently,902.0,Research & Development,26,2,Medical,1180,3,Female,2,2,Research Scientist,4,Married,4422,3,Y,Yes,13,3,4,80,1,16,3,1,1,1,0,0,57,43,72,68
SN00044,29.0,Travel_Rarely,1401.0,Research & Development,6,1,Medical,1192,2,Female,3,1,Laboratory Technician,4,Married,3131,1,Y,No,13,3,1,80,1,10,5,3,10,8,0,8,69,45,77,76
SN00045,46.0,Travel_Rarely,1319.0,Sales,0,3,Technical Degree,1863,1,Female,4,4,Sales Executive,1,Divorced,13225,2,Y,No,12,3,4,80,1,25,5,3,19,17,2,8,67,48,72,81
SN00047,47.0,Travel_Rarely,359.0,Research & Development,2,4,Medical,1443,1,Female,3,4,Research Director,3,Married,17169,3,Y,No,19,3,2,80,2,26,2,4,20,17,5,6,53,35,59,61
SN00048,32.0,Travel_Frequently,430.0,Research & Development,24,4,Life Sciences,772,1,Male,3,2,Laboratory Technician,4,Married,5309,1,Y,No,15,3,4,80,2,10,2,3,10,8,4,7,63,31,59,63
SN00049,38.0,Travel_Rarely,362.0,Research & Development,1,1,Life Sciences,662,3,Female,3,1,Research Scientist,1,Single,2619,3,Y,No,17,3,4,80,0,8,3,2,0,0,0,0,64,47,75,63
SN00050,51.0,Travel_Rarely,770.0,Human Resources,0,3,Life Sciences,1352,3,Male,3,4,Manager,2,Divorced,14026,1,Y,Yes,11,3,2,80,1,33,2,3,33,9,0,10,64,34,61,65
SN00051,58.0,Non-Travel,390.0,Research & Development,1,4,Life Sciences,422,4,Male,1,2,Healthcare Representative,3,Divorced,5660,2,Y,Yes,13,3,4,80,1,12,2,3,5,3,1,2,64,34,62,64
SN00052,,Travel_Rarely,195.0,Sales,1,3,Medical,620,1,Female,3,2,Sales Executive,3,Single,4859,1,Y,No,16,3,4,80,0,5,3,3,5,4,0,3,54,45,66,62
SN00053,45.0,Travel_Rarely,1448.0,Research & Development,29,3,Technical Degree,1465,2,Male,3,3,Manufacturing Director,4,Married,9380,4,Y,Yes,18,3,4,80,2,10,4,4,3,1,1,2,64,45,82,78
SN00054,56.0,Travel_Rarely,832.0,Research & Development,9,3,Medical,762,3,Male,3,4,Healthcare Representative,4,Married,11103,7,Y,No,11,3,3,80,0,30,1,2,10,7,1,1,46,30,60,58
SN00055,37.0,Travel_Rarely,124.0,Research & Development,0,3,Other,1062,4,Female,3,2,Healthcare Representative,2,Single,4107,3,Y,No,15,3,1,80,0,8,3,2,4,3,0,1,64,48,75,64
SN00056,37.0,Travel_Frequently,1278.0,Sales,1,4,Medical,1700,3,Male,1,2,Sales Executive,4,Divorced,9525,1,Y,No,14,3,3,80,2,6,2,2,6,3,1,3,54,40,59,62
SN00057,39.0,Travel_Rarely,903.0,Sales,2,5,Life Sciences,985,1,Male,4,3,Sales Executive,3,Single,7880,0,Y,No,18,3,4,80,0,9,3,3,8,7,0,7,64,45,66,64
SN00058,,Travel_Rarely,819.0,Research & Development,2,3,Life Sciences,1182,3,Male,2,3,Manufacturing Director,2,Divorced,10274,2,Y,No,18,3,2,80,1,15,2,4,7,7,6,4,59,32,62,60
SN00059,54.0,Travel_Rarely,1082.0,Sales,2,4,Life Sciences,1070,3,Female,2,3,Sales Executive,3,Married,10686,6,Y,No,11,3,2,80,1,13,4,3,9,4,7,0,67,51,74,80
SN00060,32.0,Non-Travel,1109.0,Research & Development,29,4,Medical,1046,4,Female,3,1,Laboratory Technician,3,Single,4025,9,Y,No,12,3,2,80,0,10,2,3,8,7,7,7,53,36,58,64
SN00061,48.0,Travel_Rarely,530.0,Sales,29,1,Medical,473,1,Female,3,3,Manager,3,Married,12504,3,Y,No,21,4,2,80,1,15,3,1,0,0,0,0,60,43,69,64
SN00062,33.0,Travel_Frequently,827.0,Research & Development,1,4,Other,998,3,Female,4,2,Healthcare Representative,2,Married,5488,1,Y,Yes,13,3,1,80,1,6,2,3,6,5,1,2,56,35,64,64
SN00064,46.0,Travel_Rarely,,Sales,1,2,Marketing,244,2,Female,3,3,Sales Executive,1,Divorced,10453,1,Y,No,25,4,3,80,3,24,2,3,24,13,15,7,61,36,60,60
SN00065,38.0,Travel_Rarely,688.0,Research & Development,23,4,Life Sciences,393,4,Male,3,2,Healthcare Representative,4,Divorced,5745,9,Y,No,14,3,2,80,1,10,2,3,2,2,1,2,53,40,64,62
SN00066,38.0,Travel_Rarely,1321.0,Sales,1,4,Life Sciences,1995,4,Male,3,2,Sales Executive,2,Married,4440,0,Y,No,15,3,1,80,2,16,3,3,15,13,5,8,57,45,69,66
SN00067,43.0,Travel_Rarely,1179.0,Sales,2,3,Medical,1706,4,Male,3,2,Sales Executive,4,Married,7847,1,Y,Yes,17,3,1,80,1,10,3,3,10,9,8,8,66,43,71,68
SN00068,37.0,Travel_Frequently,889.0,Research & Development,9,3,Medical,403,2,Male,3,1,Research Scientist,4,Married,2326,1,Y,Yes,12,3,3,80,3,4,3,2,4,2,1,2,56,45,67,62
SN00070,,Travel_Rarely,1169.0,Human Resources,8,2,Medical,869,2,Male,2,1,Human Resources,4,Divorced,4936,1,Y,No,13,3,4,80,1,6,6,3,5,1,0,4,80,51,85,80
SN00071,,Travel_Frequently,1199.0,Research & Development,18,4,Life Sciences,2049,3,Male,3,2,Healthcare Representative,3,Married,5689,1,Y,Yes,14,3,4,80,2,10,2,4,10,2,0,2,58,40,61,63
SN00072,30.0,Travel_Rarely,288.0,Research & Development,2,3,Life Sciences,117,3,Male,2,2,Healthcare Representative,4,Married,4152,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,66,47,70,68
SN00073,39.0,Travel_Rarely,412.0,Research & Development,13,4,Medical,1307,3,Female,2,4,Manager,2,Divorced,17123,6,Y,Yes,13,3,4,80,2,21,4,3,19,9,15,2,64,50,78,80
SN00074,43.0,Travel_Rarely,,Research & Development,6,3,Medical,1866,1,Female,2,5,Manager,3,Married,19392,7,Y,No,13,3,4,80,0,21,2,3,16,12,6,14,55,35,62,62
SN00075,27.0,Travel_Rarely,975.0,Research & Development,7,3,Medical,764,4,Female,2,2,Healthcare Representative,1,Single,6811,8,Y,No,19,3,1,80,0,9,2,1,7,6,0,7,50,38,61,59
SN00076,42.0,Travel_Rarely,462.0,Sales,14,2,Medical,936,3,Female,2,2,Sales Executive,3,Single,6244,7,Y,No,17,3,1,80,0,10,6,3,5,4,0,3,80,52,86,83
SN00077,31.0,Travel_Rarely,471.0,Research & Development,4,3,Medical,1916,1,Female,4,1,Laboratory Technician,3,Divorced,3978,8,Y,No,12,3,2,80,1,4,0,2,2,2,2,2,44,25,56,53
SN00079,29.0,Travel_Rarely,694.0,Research & Development,1,3,Life Sciences,1264,4,Female,2,4,Research Director,4,Divorced,16124,3,Y,No,14,3,2,80,2,9,2,2,7,7,1,7,56,36,64,64
SN00080,49.0,Travel_Frequently,636.0,Research & Development,10,4,Life Sciences,396,3,Female,3,5,Research Director,1,Single,18665,9,Y,Yes,11,3,4,80,0,22,4,3,3,2,1,2,61,52,78,81
SN00081,38.0,Travel_Rarely,1404.0,Sales,1,3,Life Sciences,1961,1,Male,2,1,Sales Representative,1,Single,2858,4,Y,No,14,3,1,80,0,20,3,2,1,0,0,0,56,46,70,63
SN00082,,Travel_Rarely,1395.0,Research & Development,9,4,Medical,2008,2,Male,3,2,Research Scientist,3,Single,5098,1,Y,No,19,3,2,80,0,10,5,3,10,7,0,8,63,51,80,77
SN00083,42.0,Travel_Rarely,810.0,Research & Development,23,5,Life Sciences,468,1,Female,3,4,Research Director,4,Single,15992,2,Y,No,14,3,2,80,0,16,2,3,1,0,0,0,50,33,59,61
SN00085,34.0,Travel_Rarely,,Sales,13,4,Medical,1951,4,Male,3,3,Sales Executive,3,Divorced,8628,1,Y,No,18,3,3,80,1,9,2,2,8,7,1,1,61,32,63,60
SN00086,36.0,Travel_Rarely,1425.0,Research & Development,14,1,Life Sciences,924,3,Male,3,2,Healthcare Representative,4,Married,6586,0,Y,Yes,17,3,1,80,1,17,2,2,16,8,4,11,63,33,64,65
SN00087,27.0,Travel_Frequently,829.0,Sales,8,1,Marketing,800,3,Male,3,2,Sales Executive,4,Married,4342,0,Y,No,19,3,2,80,1,5,3,3,4,2,1,1,65,47,65,69
SN00088,40.0,Non-Travel,1094.0,Sales,28,3,Other,615,3,Male,1,3,Sales Executive,1,Divorced,10932,3,Y,No,15,3,3,80,1,20,2,3,1,0,0,1,59,41,61,64
SN00089,34.0,Travel_Rarely,971.0,Sales,1,3,Technical Degree,1535,4,Male,2,3,Sales Executive,3,Married,7083,1,Y,Yes,14,3,4,80,0,10,3,3,10,9,8,6,51,43,68,68
SN00090,43.0,Travel_Rarely,1001.0,Research & Development,7,3,Life Sciences,451,3,Female,3,3,Healthcare Representative,1,Single,9985,8,Y,No,16,3,1,80,1,10,1,2,1,0,0,0,47,27,59,58
SN00091,31.0,Travel_Rarely,326.0,Sales,8,2,Life Sciences,1453,1,Male,3,3,Sales Executive,4,Divorced,10793,1,Y,No,18,3,1,80,1,13,5,3,13,7,9,9,70,47,71,71
SN00092,41.0,Travel_Rarely,642.0,Research & Development,1,3,Life Sciences,1999,4,Male,3,1,Research Scientist,4,Married,2782,3,Y,No,22,4,1,80,1,12,3,3,5,3,1,0,67,48,68,69
SN00093,31.0,Travel_Frequently,1125.0,Research & Development,1,3,Life Sciences,1956,4,Male,1,2,Research Scientist,1,Married,5003,1,Y,No,21,4,2,80,0,10,6,3,10,8,8,7,68,50,91,81
SN00094,45.0,Travel_Frequently,1297.0,Research & Development,1,4,Medical,1922,2,Male,3,2,Healthcare Representative,3,Single,5399,4,Y,No,12,3,3,80,0,12,3,3,4,2,0,3,59,48,71,69
SN00095,33.0,Travel_Frequently,508.0,Sales,10,3,Marketing,446,2,Male,2,2,Sales Executive,4,Single,4682,3,Y,No,14,3,3,80,0,9,6,2,7,7,0,1,75,50,89,86
SN00096,27.0,Travel_Rarely,1220.0,Research & Development,0,3,Life Sciences,434,3,Female,3,1,Research Scientist,2,Single,2478,1,Y,Yes,12,3,2,80,0,4,2,2,4,3,1,2,56,30,60,65
SN00097,36.0,Travel_Frequently,884.0,Research & Development,23,2,Medical,2061,3,Male,4,2,Laboratory Technician,4,Married,2571,4,Y,No,17,3,3,80,1,17,3,3,5,2,0,3,56,46,75,62
SN00098,33.0,Travel_Rarely,267.0,Research & Development,21,3,Medical,1698,2,Male,4,1,Laboratory Technician,2,Married,2028,1,Y,No,18,3,4,80,3,14,6,3,14,11,2,13,68,52,83,85
SN00099,31.0,Travel_Rarely,670.0,Research & Development,26,1,Life Sciences,16,1,Male,3,1,Research Scientist,3,Divorced,2911,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,51,26,56,57
SN00101,32.0,Travel_Frequently,1311.0,Research & Development,7,3,Life Sciences,359,2,Male,4,1,Laboratory Technician,2,Married,2794,1,Y,No,20,4,3,80,0,5,3,1,5,1,0,3,59,47,71,68
SN00102,36.0,Non-Travel,217.0,Research & Development,18,4,Life Sciences,1133,1,Male,3,2,Manufacturing Director,4,Single,7779,2,Y,No,20,4,1,80,0,18,0,3,11,9,0,9,47,28,55,55
SN00103,37.0,Travel_Rarely,,Human Resources,8,2,Other,1794,3,Male,3,2,Human Resources,2,Divorced,4071,2,Y,No,13,3,3,80,0,19,4,2,10,0,4,7,62,50,74,75
SN00104,,Travel_Rarely,1144.0,Sales,10,1,Medical,1056,4,Male,3,1,Sales Representative,2,Married,1052,1,Y,No,22,4,2,80,0,1,5,3,1,0,0,0,68,48,78,73
SN00105,,Travel_Rarely,959.0,Sales,28,3,Life Sciences,183,1,Male,2,2,Sales Executive,3,Married,8639,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,2,50,45,69,65
SN00107,29.0,Travel_Rarely,1107.0,Research & Development,28,4,Life Sciences,1120,3,Female,3,1,Research Scientist,4,Divorced,2514,4,Y,No,22,4,1,80,1,11,1,3,7,5,1,7,48,31,59,56
SN00108,41.0,Non-Travel,247.0,Research & Development,7,1,Life Sciences,1035,2,Female,1,5,Research Director,3,Single,19973,1,Y,No,22,4,2,80,2,21,3,3,21,16,5,10,63,45,66,71
SN00109,30.0,Travel_Rarely,1240.0,Human Resources,9,3,Human Resources,184,3,Male,3,2,Human Resources,4,Married,6347,0,Y,Yes,19,3,4,80,0,12,2,1,11,9,4,7,65,38,58,60
SN00110,39.0,Travel_Rarely,1253.0,Research & Development,10,1,Medical,1800,3,Male,3,3,Research Director,3,Single,13464,7,Y,No,21,4,3,80,0,9,3,3,4,3,2,2,66,46,75,62
SN00112,31.0,Non-Travel,979.0,Research & Development,1,4,Medical,308,3,Male,1,2,Manufacturing Director,3,Married,4345,0,Y,No,12,3,4,80,1,6,2,3,5,4,1,4,51,36,58,61
SN00113,45.0,Travel_Rarely,1234.0,Sales,11,2,Life Sciences,1045,4,Female,3,4,Manager,4,Married,17650,3,Y,No,13,3,2,80,1,26,4,4,9,3,1,1,60,49,82,82
SN00114,42.0,Travel_Frequently,532.0,Research & Development,29,2,Life Sciences,547,1,Female,3,2,Research Scientist,3,Divorced,4556,2,Y,No,11,3,2,80,1,19,3,3,5,4,0,2,52,45,73,70
SN00115,31.0,Travel_Frequently,798.0,Research & Development,7,2,Life Sciences,442,3,Female,2,3,Manufacturing Director,3,Married,8943,1,Y,No,24,4,1,80,1,10,2,3,10,9,8,9,52,33,62,59
SN00116,51.0,Travel_Rarely,,Research & Development,2,3,Medical,408,4,Male,1,2,Manufacturing Director,2,Divorced,5482,5,Y,No,18,3,4,80,1,13,3,3,4,1,1,2,56,45,66,66
SN00117,34.0,Travel_Frequently,669.0,Research & Development,1,3,Medical,1184,4,Male,2,2,Healthcare Representative,1,Single,5343,0,Y,No,20,4,3,80,0,14,3,3,13,9,4,9,64,48,69,63
SN00118,33.0,Non-Travel,722.0,Sales,17,3,Life Sciences,992,4,Male,3,4,Manager,3,Single,17444,1,Y,No,11,3,4,80,0,10,2,3,10,8,6,0,50,31,60,64
SN00119,,Travel_Rarely,1224.0,Sales,7,4,Life Sciences,1962,3,Female,3,2,Sales Executive,4,Married,5204,1,Y,Yes,11,3,4,80,0,10,2,3,10,8,0,9,55,30,58,61
SN00120,40.0,Travel_Rarely,444.0,Sales,2,2,Marketing,1986,2,Female,3,2,Sales Executive,2,Married,5677,3,Y,No,14,3,3,80,1,15,4,3,11,8,5,10,64,45,74,74
SN00121,33.0,Travel_Rarely,536.0,Sales,10,5,Marketing,1268,4,Male,4,3,Sales Executive,3,Divorced,8380,0,Y,Yes,14,3,4,80,2,10,3,3,9,8,0,8,51,48,70,62
SN00122,34.0,Travel_Rarely,1400.0,Sales,9,1,Life Sciences,1163,2,Female,3,2,Sales Executive,3,Married,5714,1,Y,No,20,4,1,80,0,6,3,2,6,5,1,3,58,44,69,67
SN00123,34.0,Travel_Rarely,1397.0,Research & Development,1,5,Life Sciences,683,2,Male,3,1,Research Scientist,4,Married,2691,1,Y,No,12,3,4,80,1,10,4,2,10,9,8,8,67,49,78,72
SN00124,30.0,Travel_Rarely,153.0,Research & Development,8,2,Life Sciences,1015,2,Female,4,3,Research Director,1,Married,11416,0,Y,Yes,12,3,3,80,3,9,4,2,8,7,1,7,66,46,81,74
SN00125,33.0,Travel_Frequently,1392.0,Research & Development,0,4,Life Sciences,5,4,Female,3,1,Research Scientist,3,Married,2909,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,63,44,74,68
SN00126,45.0,Non-Travel,248.0,Research & Development,23,2,Life Sciences,1002,4,Male,3,2,Laboratory Technician,1,Married,3633,1,Y,Yes,15,3,3,80,1,9,2,3,9,8,0,8,59,30,64,64
SN00127,37.0,Non-Travel,142.0,Sales,9,4,Medical,626,1,Male,3,3,Sales Executive,2,Divorced,8834,1,Y,No,13,3,4,80,1,9,6,3,9,5,7,7,81,51,87,85
SN00128,31.0,Travel_Rarely,691.0,Sales,7,3,Marketing,438,4,Male,3,2,Sales Executive,4,Divorced,7547,4,Y,No,12,3,4,80,3,13,3,3,7,7,1,7,53,43,72,69
SN00129,32.0,Travel_Frequently,1005.0,Research & Development,2,2,Life Sciences,8,4,Male,3,1,Laboratory Technician,4,Single,3068,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,63,30,65,65
SN00130,,Travel_Rarely,640.0,Research & Development,1,3,Technical Degree,1301,4,Male,3,1,Research Scientist,1,Single,2080,2,Y,No,11,3,2,80,0,5,2,2,3,2,1,2,64,35,58,61
SN00131,,Travel_Rarely,683.0,Research & Development,2,1,Medical,1407,1,Male,2,1,Research Scientist,4,Single,3904,0,Y,No,12,3,4,80,0,5,2,3,4,3,1,1,62,30,64,60
SN00133,33.0,Travel_Frequently,1141.0,Sales,1,3,Life Sciences,52,3,Female,4,2,Sales Executive,1,Married,5376,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,57,44,74,71
SN00134,38.0,Travel_Rarely,168.0,Research & Development,1,3,Life Sciences,743,3,Female,3,3,Manufacturing Director,3,Single,7861,4,Y,Yes,14,3,4,80,0,10,4,4,1,0,0,0,61,49,73,75
SN00135,41.0,Travel_Rarely,1411.0,Research & Development,19,2,Life Sciences,334,3,Male,3,2,Research Scientist,1,Divorced,3072,2,Y,No,16,3,1,80,2,17,2,2,1,0,0,0,51,30,64,65
SN00137,38.0,Travel_Frequently,471.0,Research & Development,12,3,Life Sciences,837,1,Male,2,2,Healthcare Representative,1,Divorced,6288,2,Y,No,15,3,3,80,1,13,3,2,4,3,1,2,51,44,74,63
SN00138,27.0,Travel_Rarely,728.0,Sales,23,1,Medical,1864,2,Female,2,2,Sales Representative,3,Married,3540,1,Y,No,21,4,4,80,1,9,5,3,9,8,5,8,69,47,78,78
SN00139,53.0,Travel_Rarely,102.0,Research & Development,23,4,Life Sciences,901,4,Female,3,4,Research Director,4,Single,14275,6,Y,No,18,3,3,80,0,33,0,3,12,9,3,8,50,27,55,54
SN00140,30.0,Travel_Rarely,1358.0,Sales,16,1,Life Sciences,1479,4,Male,3,2,Sales Executive,3,Married,5301,8,Y,No,15,3,3,80,2,4,2,2,2,1,2,2,65,36,64,59
SN00142,30.0,Travel_Rarely,921.0,Research & Development,1,3,Life Sciences,806,4,Male,1,1,Laboratory Technician,3,Married,3833,3,Y,No,21,4,3,80,2,7,2,3,2,2,0,2,62,40,62,59
SN00143,58.0,Travel_Rarely,1055.0,Research & Development,1,3,Medical,1423,4,Female,3,5,Research Director,1,Married,19701,3,Y,Yes,21,4,3,80,1,32,3,3,9,8,1,5,55,46,67,65
SN00144,34.0,Travel_Rarely,216.0,Sales,1,4,Marketing,1047,2,Male,4,2,Sales Executive,4,Divorced,9725,0,Y,No,11,3,4,80,1,16,2,2,15,1,0,9,55,40,63,59
SN00145,,Travel_Frequently,1096.0,Research & Development,6,3,Other,1918,3,Male,4,1,Laboratory Technician,4,Married,2544,0,Y,No,18,3,1,80,1,8,3,3,7,7,7,7,53,44,74,67
SN00146,51.0,Travel_Rarely,1178.0,Sales,14,2,Life Sciences,500,3,Female,3,2,Sales Executive,4,Married,4936,4,Y,No,11,3,3,80,1,18,2,2,7,7,0,7,51,40,61,63
SN00147,39.0,Travel_Rarely,117.0,Research & Development,10,1,Medical,429,3,Male,3,4,Manager,1,Married,17068,1,Y,Yes,14,3,4,80,0,21,3,3,21,9,11,10,68,46,65,64
SN00148,36.0,Non-Travel,635.0,Sales,10,4,Medical,592,2,Male,3,3,Sales Executive,4,Single,9980,1,Y,No,14,3,4,80,0,10,3,2,10,3,9,7,62,44,73,64
SN00149,32.0,Travel_Rarely,588.0,Sales,8,2,Technical Degree,436,3,Female,2,2,Sales Executive,2,Married,5228,1,Y,Yes,11,3,4,80,0,13,2,3,13,12,11,9,59,37,59,59
