staff_id,age,gender,department,jobrole,total_kpi_scores
SN00293,45,Male,"Research & Development","Manufacturing Director",45
SN00296,29,Male,"Research & Development","Research Scientist",56
SN00297,32,Male,Sales,"Sales Executive",40
SN00298,46,Male,Sales,Manager,54
SN00300,44,Male,"Research & Development","Research Director",41
SN00301,40,Female,"Research & Development","Manufacturing Director",54
SN00302,55,Female,Sales,Manager,47
SN00303,41,Male,"Research & Development","Research Director",49
SN00308,45,Male,"Research & Development","Research Director",54
SN00309,34,Male,"Research & Development","Manufacturing Director",52
SN00310,38,Male,"Research & Development","Research Scientist",46
SN00313,40,Female,"Research & Development","Manufacturing Director",51
SN00316,20,Male,Sales,"Sales Representative",56
SN00318,31,Male,"Research & Development","Research Scientist",53
SN00320,50,Female,"Research & Development",Manager,57
SN00321,27,Male,"Research & Development","Research Scientist",42
SN00323,36,Male,"Research & Development","Healthcare Representative",45
SN00324,53,Male,"Research & Development","Research Director",51
SN00325,42,Male,"Research & Development","Healthcare Representative",52
SN00326,37,Male,"Research & Development","Healthcare Representative",51
SN00327,43,Male,"Research & Development","Research Director",58
SN00328,23,Male,"Research & Development","Research Scientist",48
SN00329,52,Female,"Research & Development","Laboratory Technician",53
SN00331,50,Female,"Research & Development","Research Director",51
SN00332,42,Male,Sales,"Sales Executive",57
SN00333,34,Male,"Research & Development","Laboratory Technician",59
SN00336,30,Female,"Research & Development","Research Scientist",53
SN00338,27,Male,"Research & Development","Laboratory Technician",50
SN00339,36,Female,"Research & Development","Laboratory Technician",49
SN00342,33,Male,"Research & Development","Laboratory Technician",48
SN00343,36,Male,"Research & Development","Healthcare Representative",59
SN00344,39,Female,"Research & Development","Laboratory Technician",57
SN00345,36,Male,Sales,"Sales Executive",58
SN00347,36,Female,"Research & Development","Manufacturing Director",54
SN00348,37,Male,"Research & Development","Manufacturing Director",48
SN00350,49,Female,"Research & Development","Research Director",49
SN00353,33,Female,Sales,"Sales Executive",59
SN00355,46,Male,"Research & Development","Manufacturing Director",55
SN00357,32,Male,Sales,"Sales Executive",46
SN00358,30,Female,"Research & Development","Research Scientist",50
SN00360,27,Female,"Research & Development","Manufacturing Director",51
SN00361,42,Male,"Research & Development","Research Director",55
SN00363,50,Male,Sales,"Sales Representative",51
SN00365,31,Male,Sales,"Sales Representative",45
SN00367,42,Male,"Research & Development","Laboratory Technician",54
SN00370,46,Female,Sales,Manager,52
SN00371,39,Female,Sales,"Sales Executive",51
SN00372,30,Male,"Research & Development","Laboratory Technician",50
SN00373,36,Male,"Research & Development","Laboratory Technician",50
SN00375,22,Female,"Research & Development","Research Scientist",51
SN00377,41,Female,"Research & Development","Research Scientist",58
SN00379,47,Male,"Research & Development","Research Director",51
SN00381,29,Male,"Research & Development","Healthcare Representative",39
SN00383,51,Male,"Research & Development","Research Scientist",39
SN00384,34,Male,"Research & Development","Research Scientist",55
SN00388,38,Female,"Research & Development","Research Scientist",50
SN00390,39,Male,Sales,"Sales Executive",58
SN00391,40,Male,"Research & Development","Laboratory Technician",59
SN00393,40,Female,"Research & Development","Research Scientist",47
SN00396,50,Female,"Research & Development","Research Director",55
SN00397,37,Male,Sales,"Sales Representative",53
SN00400,31,Female,Sales,"Sales Executive",56
SN00401,38,Female,"Research & Development","Laboratory Technician",56
SN00402,27,Female,Sales,"Sales Executive",50
SN00403,46,Male,"Human Resources","Human Resources",53
SN00404,41,Male,"Research & Development","Laboratory Technician",50
SN00405,40,Male,"Research & Development","Research Director",46
SN00406,30,Male,Sales,"Sales Executive",59
SN00408,34,Male,"Research & Development","Laboratory Technician",54
SN00409,40,Female,Sales,"Sales Executive",53
SN00410,29,Male,Sales,"Sales Representative",51
SN00411,46,Male,"Research & Development","Research Director",49
SN00412,41,Male,Sales,"Sales Executive",50
SN00413,39,Female,Sales,"Sales Executive",44
SN00414,29,Female,"Research & Development","Research Scientist",52
SN00415,52,Female,"Research & Development",Manager,49
SN00416,37,Male,"Research & Development","Research Scientist",47
SN00418,44,Female,"Human Resources","Human Resources",51
SN00421,47,Male,Sales,"Sales Representative",58
SN00422,37,Female,"Research & Development","Laboratory Technician",49
SN00424,57,Male,"Research & Development","Healthcare Representative",51
SN00430,32,Male,"Research & Development","Laboratory Technician",49
SN00434,36,Male,"Research & Development","Laboratory Technician",53
SN00435,31,Male,Sales,"Sales Executive",53
SN00438,27,Female,"Research & Development","Manufacturing Director",55
SN00440,45,Female,"Research & Development","Laboratory Technician",50
SN00441,40,Male,"Research & Development","Healthcare Representative",55
SN00442,47,Female,"Research & Development","Research Director",59
SN00443,34,Female,"Research & Development","Research Scientist",57
SN00444,44,Male,"Research & Development","Research Scientist",58
SN00445,36,Female,Sales,"Sales Executive",51
SN00448,39,Female,"Research & Development","Healthcare Representative",42
SN00450,34,Male,"Research & Development","Research Scientist",46
SN00451,50,Female,Sales,"Sales Executive",56
SN00452,41,Male,Sales,Manager,48
SN00454,39,Male,"Research & Development",Manager,47
SN00455,44,Male,"Research & Development","Research Scientist",52
SN00456,33,Male,"Research & Development","Manufacturing Director",51
SN00457,33,Male,Sales,"Sales Executive",56
SN00459,37,Female,"Research & Development","Healthcare Representative",53
SN00460,37,Female,"Research & Development","Laboratory Technician",53
SN00463,30,Female,Sales,"Sales Executive",51
SN00465,27,Male,"Research & Development","Research Scientist",54
SN00467,23,Male,"Research & Development","Research Scientist",56
SN00468,43,Male,"Research & Development","Research Scientist",56
SN00470,27,Female,"Research & Development","Research Scientist",49
SN00472,32,Male,"Research & Development","Research Scientist",47
SN00473,30,Female,Sales,"Sales Executive",50
SN00474,37,Male,Sales,"Sales Executive",50
SN00476,38,Female,Sales,"Sales Executive",54
SN00480,43,Male,"Research & Development","Laboratory Technician",56
SN00481,32,Male,"Research & Development","Research Scientist",56
SN00482,31,Male,"Research & Development","Laboratory Technician",50
SN00483,52,Female,"Research & Development","Laboratory Technician",56
SN00484,44,Female,Sales,"Sales Executive",50
SN00493,37,Male,"Research & Development","Research Director",45
SN00498,32,Female,"Research & Development","Manufacturing Director",51
SN00500,36,Female,"Research & Development","Research Scientist",59
SN00502,42,Male,"Research & Development","Research Scientist",44
SN00506,52,Male,"Research & Development","Research Scientist",56
SN00507,54,Female,"Research & Development","Manufacturing Director",52
SN00510,55,Male,"Human Resources",Manager,43
SN00511,42,Female,"Human Resources",Manager,59
SN00513,40,Female,Sales,"Sales Executive",53
SN00514,31,Female,"Research & Development","Manufacturing Director",53
SN00517,32,Female,Sales,"Sales Representative",53
SN00518,38,Male,"Human Resources","Human Resources",59
SN00519,22,Female,"Research & Development","Research Scientist",43
SN00520,22,Male,"Research & Development","Laboratory Technician",54
SN00521,27,Female,"Research & Development","Laboratory Technician",50
SN00523,29,Male,"Research & Development","Manufacturing Director",49
SN00525,31,Female,"Research & Development","Manufacturing Director",53
SN00526,55,Male,"Research & Development","Healthcare Representative",55
SN00527,59,Male,"Human Resources","Human Resources",49
SN00528,48,Female,Sales,"Sales Executive",47
SN00529,43,Male,"Research & Development","Laboratory Technician",45
SN00531,33,Male,"Research & Development","Research Scientist",52
SN00532,53,Female,Sales,Manager,55
SN00533,46,Male,Sales,"Sales Executive",58
SN00534,31,Female,"Human Resources","Human Resources",56
SN00535,38,Male,"Research & Development","Research Director",58
SN00537,60,Male,Sales,"Sales Executive",59
SN00540,46,Male,Sales,"Sales Executive",59
SN00543,33,Female,Sales,"Sales Executive",59
SN00544,40,Male,"Research & Development","Healthcare Representative",54
SN00548,33,Female,"Research & Development","Healthcare Representative",57
SN00552,48,Male,"Research & Development","Healthcare Representative",40
SN00553,54,Female,"Research & Development","Research Scientist",48
SN00555,43,Male,"Research & Development","Research Scientist",51
SN00556,29,Male,"Research & Development","Healthcare Representative",56
SN00557,34,Female,"Research & Development","Research Scientist",49
SN00559,27,Female,"Research & Development","Research Scientist",43
SN00561,39,Female,"Research & Development","Manufacturing Director",55
SN00564,31,Male,Sales,Manager,56
SN00566,34,Female,Sales,"Sales Executive",55
SN00567,31,Male,Sales,"Sales Representative",50
SN00568,53,Female,Sales,"Sales Executive",51
SN00569,41,Female,"Research & Development","Manufacturing Director",56
SN00570,54,Female,"Research & Development","Manufacturing Director",50
SN00571,30,Male,"Research & Development","Laboratory Technician",56
SN00572,49,Male,"Research & Development","Healthcare Representative",52
SN00574,36,Female,"Research & Development","Laboratory Technician",53
SN00577,32,Female,"Research & Development","Research Scientist",52
SN00578,29,Male,"Research & Development","Manufacturing Director",50
SN00579,37,Male,"Research & Development","Research Scientist",57
SN00581,51,Female,Sales,Manager,52
SN00582,34,Female,"Research & Development","Research Scientist",55
SN00583,40,Female,Sales,Manager,48
SN00584,38,Male,"Human Resources","Human Resources",48
SN00585,48,Male,"Research & Development","Manufacturing Director",50
SN00586,42,Male,"Research & Development","Manufacturing Director",57
SN00587,31,Female,"Research & Development","Research Director",51
SN00591,42,Male,"Research & Development","Research Scientist",48
SN00592,39,Female,"Research & Development","Manufacturing Director",49
SN00594,29,Female,"Research & Development","Laboratory Technician",53
SN00595,43,Female,"Research & Development","Healthcare Representative",56
SN00597,31,Female,"Research & Development","Healthcare Representative",47
SN00599,38,Male,"Research & Development","Research Scientist",42
SN00601,56,Female,"Research & Development",Manager,47
SN00602,34,Female,Sales,"Sales Representative",56
SN00603,31,Male,"Research & Development","Healthcare Representative",48
SN00606,40,Male,Sales,"Sales Executive",52
SN00610,34,Male,"Research & Development","Research Scientist",49
SN00611,40,Male,Sales,"Sales Executive",56
SN00614,46,Female,Sales,Manager,45
SN00615,27,Female,Sales,"Sales Executive",52
SN00619,37,Male,"Research & Development","Manufacturing Director",48
SN00620,54,Female,"Research & Development","Laboratory Technician",54
SN00624,38,Female,"Research & Development","Research Scientist",57
SN00625,36,Female,Sales,"Sales Executive",59
SN00626,39,Male,"Research & Development","Research Scientist",49
SN00628,54,Female,"Research & Development","Research Director",56
SN00630,27,Female,Sales,"Sales Executive",56
SN00631,45,Male,"Research & Development","Laboratory Technician",46
SN00632,31,Female,Sales,"Sales Executive",58
SN00633,27,Male,"Research & Development","Manufacturing Director",42
SN00636,38,Female,Sales,"Sales Executive",45
SN00637,30,Male,"Research & Development","Research Scientist",49
SN00638,20,Female,"Research & Development","Research Scientist",40
SN00639,38,Male,"Research & Development","Research Scientist",42
SN00641,27,Male,"Research & Development","Research Scientist",39
SN00642,36,Male,"Human Resources","Human Resources",54
SN00643,42,Male,"Research & Development","Laboratory Technician",58
SN00644,58,Male,"Research & Development","Research Director",56
SN00645,33,Male,"Research & Development","Healthcare Representative",51
SN00650,43,Male,Sales,Manager,55
SN00654,45,Male,"Research & Development","Healthcare Representative",50
SN00657,34,Male,"Research & Development","Manufacturing Director",56
SN00658,40,Male,Sales,"Sales Executive",50
SN00659,34,Male,Sales,"Sales Executive",52
SN00660,33,Male,"Research & Development","Research Scientist",52
SN00661,32,Male,Sales,"Sales Executive",59
SN00662,20,Male,Sales,"Sales Representative",48
SN00663,36,Female,"Research & Development","Manufacturing Director",47
SN00664,27,Male,"Research & Development","Laboratory Technician",54
SN00666,37,Male,Sales,"Sales Executive",49
SN00667,46,Female,Sales,Manager,50
SN00668,45,Female,"Research & Development","Manufacturing Director",58
SN00669,34,Male,Sales,"Sales Executive",54
SN00677,33,Female,"Research & Development",Manager,52
SN00678,19,Female,"Research & Development","Laboratory Technician",57
SN00679,34,Female,"Research & Development","Research Scientist",52
SN00681,39,Male,"Research & Development","Manufacturing Director",58
SN00682,31,Female,"Research & Development","Manufacturing Director",44
SN00683,27,Male,"Research & Development","Research Scientist",41
SN00685,24,Male,Sales,"Sales Representative",57
SN00686,51,Female,"Research & Development","Manufacturing Director",43
SN00688,31,Male,"Research & Development","Laboratory Technician",55
SN00689,36,Male,"Research & Development","Manufacturing Director",50
SN00690,27,Male,Sales,"Sales Executive",54
SN00691,38,Male,"Research & Development","Research Scientist",56
SN00692,40,Male,Sales,"Sales Executive",48
SN00693,43,Female,"Research & Development","Research Scientist",57
SN00694,27,Male,"Research & Development","Research Scientist",47
SN00696,27,Female,"Research & Development","Laboratory Technician",58
SN00698,34,Female,"Research & Development","Laboratory Technician",47
SN00700,59,Male,Sales,Manager,43
SN00701,44,Male,"Research & Development","Manufacturing Director",52
SN00703,23,Male,"Research & Development","Research Scientist",52
SN00705,43,Male,"Research & Development","Research Director",54
SN00706,32,Female,Sales,"Sales Executive",56
SN00709,45,Male,Sales,"Sales Executive",48
SN00711,36,Male,Sales,"Sales Executive",43
SN00712,43,Male,"Research & Development","Healthcare Representative",46
SN00713,22,Male,"Research & Development","Laboratory Technician",51
SN00715,36,Female,"Research & Development","Manufacturing Director",50
SN00717,36,Female,"Research & Development","Manufacturing Director",57
SN00719,32,Female,"Research & Development","Research Scientist",55
SN00720,39,Male,"Research & Development","Healthcare Representative",49
SN00721,52,Male,Sales,"Sales Representative",52
SN00722,32,Male,"Research & Development","Research Scientist",58
SN00723,34,Female,"Research & Development","Research Scientist",52
SN00724,31,Female,"Research & Development","Research Scientist",38
SN00725,18,Female,Sales,"Sales Representative",48
SN00726,21,Male,Sales,"Sales Representative",51
SN00727,36,Female,"Research & Development","Research Scientist",46
SN00728,24,Male,"Research & Development","Laboratory Technician",48
SN00729,34,Female,"Research & Development","Research Scientist",58
SN00733,58,Female,"Research & Development","Research Scientist",57
SN00735,29,Female,"Research & Development","Laboratory Technician",57
SN00737,44,Male,"Research & Development","Research Scientist",41
SN00739,36,Female,Sales,"Sales Executive",56
SN00740,46,Male,"Research & Development","Healthcare Representative",59
SN00742,31,Male,"Research & Development","Research Scientist",54
SN00747,30,Male,Sales,"Sales Representative",56
SN00748,32,Male,Sales,"Sales Representative",50
SN00752,40,Male,"Research & Development","Research Scientist",54
SN00754,33,Female,Sales,"Sales Executive",49
SN00755,42,Male,"Research & Development",Manager,48
SN00757,48,Female,"Research & Development",Manager,55
SN00758,49,Female,"Research & Development","Research Scientist",53
SN00760,37,Male,"Research & Development","Manufacturing Director",47
SN00761,45,Female,"Research & Development","Research Director",50
SN00767,49,Male,Sales,"Sales Executive",59
SN00768,24,Male,"Human Resources","Human Resources",48
SN00769,46,Male,"Research & Development","Manufacturing Director",56
SN00771,53,Male,Sales,"Sales Representative",56
SN00772,45,Female,"Research & Development","Manufacturing Director",52
SN00773,33,Male,"Research & Development","Healthcare Representative",49
SN00776,34,Female,"Research & Development","Research Scientist",55
SN00779,45,Male,Sales,"Sales Executive",52
SN00782,41,Male,Sales,"Sales Executive",50
SN00784,36,Female,"Research & Development","Laboratory Technician",50
SN00787,38,Male,"Research & Development","Manufacturing Director",49
SN00788,31,Female,"Research & Development","Research Director",58
SN00791,45,Male,Sales,"Sales Executive",56
SN00792,42,Female,"Research & Development","Research Scientist",44
SN00793,31,Female,"Research & Development","Healthcare Representative",52
SN00795,32,Female,"Research & Development","Laboratory Technician",49
SN00797,30,Male,"Research & Development","Research Scientist",55
SN00798,23,Male,"Research & Development","Research Scientist",52
SN00799,38,Male,"Research & Development","Healthcare Representative",48
SN00801,40,Female,"Research & Development","Research Scientist",53
SN00802,37,Female,"Research & Development","Manufacturing Director",48
SN00803,24,Male,"Research & Development","Laboratory Technician",46
SN00804,40,Male,"Research & Development","Research Scientist",49
SN00805,36,Male,"Research & Development","Laboratory Technician",58
SN00806,23,Male,"Research & Development","Laboratory Technician",50
SN00809,29,Male,"Human Resources","Human Resources",53
SN00811,30,Male,"Research & Development","Laboratory Technician",59
SN00813,42,Male,"Research & Development",Manager,57
SN00817,40,Female,"Research & Development",Manager,50
SN00822,50,Female,Sales,"Sales Executive",54
SN00829,39,Male,"Research & Development",Manager,54
SN00831,55,Male,"Research & Development","Research Scientist",44
SN00832,34,Male,"Research & Development","Research Scientist",59
SN00834,33,Female,"Research & Development","Research Scientist",50
SN00838,36,Male,Sales,"Sales Executive",50
SN00839,30,Female,"Research & Development","Manufacturing Director",59
SN00840,45,Female,"Research & Development","Research Scientist",48
SN00842,32,Male,Sales,"Sales Executive",58
SN00843,49,Male,"Research & Development","Research Scientist",57
SN00844,54,Female,"Human Resources",Manager,55
SN00847,41,Male,Sales,"Sales Executive",59
SN00856,40,Female,"Research & Development","Healthcare Representative",56
SN00858,37,Female,Sales,"Sales Representative",53
SN00860,33,Male,"Research & Development","Research Scientist",45
SN00862,52,Female,"Research & Development","Manufacturing Director",53
SN00863,42,Male,"Research & Development","Research Scientist",51
SN00865,37,Female,"Research & Development","Research Director",45
SN00866,49,Female,Sales,"Sales Executive",42
SN00867,41,Female,Sales,"Sales Executive",59
SN00872,38,Female,"Research & Development","Research Director",56
SN00873,37,Female,"Research & Development","Research Scientist",58
SN00874,30,Male,Sales,"Sales Executive",59
SN00875,41,Male,"Research & Development","Laboratory Technician",50
SN00876,36,Male,"Research & Development","Healthcare Representative",54
SN00877,34,Female,"Research & Development","Healthcare Representative",56
SN00880,47,Female,Sales,Manager,52
SN00882,34,Female,Sales,"Sales Executive",55
SN00884,54,Female,"Research & Development","Research Director",59
SN00885,47,Male,"Research & Development","Research Scientist",51
SN00887,55,Male,"Research & Development","Research Director",47
SN00889,33,Male,"Human Resources","Human Resources",46
SN00891,48,Male,Sales,"Sales Executive",58
SN00892,22,Male,"Research & Development","Research Scientist",49
SN00894,34,Male,"Research & Development","Healthcare Representative",45
SN00897,50,Male,"Research & Development","Research Director",47
SN00899,32,Male,Sales,"Sales Executive",48
SN00901,38,Male,Sales,"Sales Representative",54
SN00903,41,Female,Sales,"Sales Executive",46
SN00906,58,Male,Sales,"Sales Executive",43
SN00907,48,Male,"Research & Development",Manager,55
SN00909,53,Female,Sales,"Sales Executive",52
SN00910,49,Female,"Research & Development","Laboratory Technician",56
SN00914,27,Male,"Research & Development","Manufacturing Director",44
SN00918,27,Male,"Research & Development","Laboratory Technician",57
SN00919,52,Female,"Research & Development","Laboratory Technician",58
SN00923,40,Female,"Research & Development","Laboratory Technician",57
SN00924,47,Female,"Research & Development",Manager,54
SN00926,50,Male,"Research & Development","Research Director",53
SN00928,21,Male,"Research & Development","Research Scientist",49
SN00929,27,Male,"Research & Development","Research Scientist",59
SN00930,48,Male,Sales,"Sales Executive",58
SN00931,36,Female,"Research & Development","Healthcare Representative",49
SN00935,48,Female,"Research & Development",Manager,54
SN00936,55,Female,"Research & Development",Manager,52
SN00938,34,Female,Sales,"Sales Representative",51
SN00941,54,Female,"Research & Development",Manager,49
SN00942,42,Male,"Human Resources","Human Resources",54
SN00943,29,Male,"Research & Development","Laboratory Technician",48
SN00944,47,Female,Sales,"Sales Executive",42
SN00945,42,Female,Sales,"Sales Executive",49
SN00947,51,Female,"Research & Development",Manager,52
SN00948,33,Female,"Research & Development","Research Director",52
SN00952,43,Female,"Research & Development","Research Scientist",54
SN00953,49,Male,"Research & Development","Manufacturing Director",42
SN00954,27,Male,"Research & Development","Research Scientist",44
SN00957,30,Male,Sales,"Sales Executive",48
SN00958,42,Male,"Research & Development",Manager,49
SN00959,23,Male,"Research & Development","Research Scientist",59
SN00961,24,Female,Sales,"Sales Executive",55
SN00962,29,Male,"Research & Development","Research Scientist",49
SN00967,34,Female,Sales,"Sales Executive",52
SN00969,51,Male,Sales,"Sales Executive",53
SN00970,33,Male,Sales,"Sales Executive",52
SN00971,59,Female,Sales,"Sales Executive",53
SN00972,45,Male,Sales,"Sales Representative",58
SN00975,32,Male,Sales,"Sales Executive",49
SN00976,34,Male,"Research & Development","Laboratory Technician",55
